Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, 893, 47, -651, 34.5, 6-61, g_vaca, Cow, 0-069-354-212, BORN, , , , , , 1
0, 841, 64, -682, 34.4, 6-62, g_vaca, Cow, 0-069-354-112, BORN, , , , , , 1
0, 893, 27, -676, 34.7, 6-63, g_vaca, Cow, 0-069-354-112, BORN, , , , , , 1
0, 869, 103, -629, 34.0, 6-64, g_vaca, Cow, 0-069-354-112, BORN, , , , , , 1
30, 777, 146, -658, 33.5, 6-57, g_vaca, Cow, 0-069-354-112, DIED, , , , , STARVE
30, 786, 133, -654, 33.7, 6-58, g_vaca, Cow, 0-069-354-112, DIED, , , , , STARVE
30, 782, 133, -646, 33.7, 6-59, g_vaca, Cow, 0-069-354-112, DIED, , , , , STARVE
30, 773, 111, -604, 33.9, 6-60, g_vaca, Cow, 0-069-354-212, DIED, , , , , STARVE
30, 873, 60, -668, 34.4, 6-61, g_vaca, Cow, 0-069-354-212, DIED, , , , , STARVE
30, 826, 66, -677, 34.3, 6-62, g_vaca, Cow, 0-069-354-112, DIED, , , , , STARVE
30, 874, 46, -683, 34.5, 6-63, g_vaca, Cow, 0-069-354-112, DIED, , , , , STARVE
30, 854, 123, -591, 33.8, 6-64, g_vaca, Cow, 0-069-354-112, DIED, , , , , STARVE
40, 781, 141, -657, 33.6, 4-1, g_llop, Wolf, 0-069-354-240, DIED, , , , , STARVE
40, 754, 169, -666, 33.3, 4-2, g_llop, Wolf, 0-069-354-240, DIED, , , , , STARVE
40, 812, 68, -693, 34.3, 4-3, g_llop, Wolf, 0-069-354-240, DIED, , , , , STARVE
40, 793, 90, -625, 34.1, 4-4, g_llop, Wolf, 0-069-354-240, DIED, , , , , STARVE
40, 795, 114, -659, 33.9, 4-5, g_llop, Wolf, 0-069-354-140, DIED, , , , , STARVE
