Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, -32, 249, -7, 32.5, 4-1, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -93, 199, -22, 33.0, 4-2, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -68, 216, -29, 32.8, 4-3, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -50, 165, 40, 33.3, 4-4, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -27, 255, -11, 32.4, 4-5, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -31, 242, 13, 32.6, 4-6, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -94, 159, 36, 33.4, 4-7, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -29, 254, 1, 32.5, 4-8, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -93, 200, -27, 33.0, 4-9, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -111, 205, 10, 32.9, 4-10, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -92, 181, -73, 33.2, 5-11, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 104, 253, -139, 32.5, 5-12, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -96, 218, 11, 32.8, 5-13, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 79, 95, -15, 34.0, 5-14, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 40, 95, 4, 34.0, 5-15, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 19, 117, 10, 33.8, 5-16, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 18, 158, -64, 33.4, 5-17, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 47, 103, -31, 34.0, 5-18, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 32, 105, 15, 33.9, 5-19, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 48, 211, -143, 32.9, 5-20, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 5, 264, -116, 32.4, 5-21, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 48, 122, -36, 33.8, 5-22, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -26, 244, 21, 32.6, 5-23, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 52, 90, 9, 34.1, 5-24, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 73, 100, -29, 34.0, 5-25, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 53, 254, -220, 32.5, 5-26, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 100, 138, 8, 33.6, 5-27, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 117, 277, -134, 32.2, 5-28, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 91, 127, -54, 33.7, 5-29, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 31, 101, -45, 34.0, 5-30, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -12, 175, -172, 33.2, 5-31, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 74, 97, -17, 34.0, 5-32, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -74, 218, -31, 32.8, 5-33, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 95, 145, -83, 33.5, 5-34, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -122, 157, -83, 33.4, 5-35, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -108, 169, -71, 33.3, 5-36, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -92, 201, -20, 33.0, 5-37, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -35, 143, -127, 33.6, 5-38, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 27, 189, -74, 33.1, 5-39, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 112, 146, -104, 33.5, 5-40, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 28, 247, -91, 32.5, 5-41, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -16, 195, -80, 33.0, 5-42, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 108, 258, -138, 32.4, 5-43, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -115, 202, -36, 33.0, 5-44, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 56, 226, -116, 32.7, 5-45, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -127, 237, -35, 32.6, 5-46, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 1, 175, 8, 33.2, 5-47, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -82, 211, -62, 32.9, 5-48, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 57, 212, -137, 32.9, 5-49, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -21, 246, -13, 32.5, 5-50, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -45, 193, -51, 33.1, 5-51, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
