Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, 13, 0, -9, 25.0, 2-1, g_sheep, Sheep, 0-067-354-119, BORN, , , , , , 1
0, 1, 0, 6, 25.0, 2-2, g_sheep, Sheep, 0-067-354-119, BORN, , , , , , 1
0, 29, 0, -10, 25.0, 2-3, g_sheep, Sheep, 0-067-354-119, BORN, , , , , , 1
0, 15, 0, -15, 25.0, 2-4, g_sheep, Sheep, 0-067-354-119, BORN, , , , , , 1
0, 15, 0, -5, 25.0, 2-5, g_sheep, Sheep, 0-067-354-119, BORN, , , , , , 1
0, 0, 0, 15, 25.0, 1-6, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 13, 0, 17, 25.0, 1-7, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -11, 0, -26, 25.0, 1-8, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 12, 0, 16, 25.0, 1-9, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 2, 0, 13, 25.0, 1-10, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 24, 0, -2, 25.0, 1-11, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 2, 0, -18, 25.0, 1-12, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -20, 0, 12, 25.0, 1-13, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 7, 0, -30, 25.0, 1-14, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 0, 0, -15, 25.0, 1-15, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 17, 0, -3, 25.0, 1-16, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -6, 0, -2, 25.0, 1-17, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -15, 0, 9, 25.0, 1-18, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -2, 0, -3, 25.0, 1-19, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -1, 0, 11, 25.0, 1-20, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 2, 0, 13, 25.0, 1-21, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -12, 0, -15, 25.0, 1-22, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 26, 0, 10, 25.0, 1-23, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -23, 0, 11, 25.0, 1-24, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -15, 0, -25, 25.0, 1-25, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -11, 0, -2, 25.0, 1-26, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -13, 0, 11, 25.0, 1-27, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, -20, 0, 8, 25.0, 1-28, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
0, 5, 0, 21, 25.0, 1-29, g_bush, Bush, 0-067-358-000, BORN, , , , , , 1
