Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, -67, 149, 32, 33.5, 4-1, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -82, 155, 40, 33.4, 4-2, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -83, 208, -10, 32.9, 4-3, g_arbre, Tree, 0-069-366-100, BORN, , , , , , 1
0, -55, 206, -25, 32.9, 4-4, g_arbre, Tree, 0-069-366-100, BORN, , , , , , 1
0, -66, 211, -23, 32.9, 4-5, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -21, 256, -1, 32.4, 4-6, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -43, 221, -14, 32.8, 4-7, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -77, 147, 44, 33.5, 4-8, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -31, 252, -3, 32.5, 4-9, g_arbre, Tree, 0-069-366-100, BORN, , , , , , 1
0, -103, 193, -33, 33.1, 4-10, g_arbre, Tree, 0-069-366-100, BORN, , , , , , 1
0, 85, 265, -200, 32.3, 5-11, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -84, 128, -104, 33.7, 5-12, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -92, 219, 3, 32.8, 5-13, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -107, 220, -186, 32.8, 5-14, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -76, 160, 38, 33.4, 5-15, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 20, 201, -128, 33.0, 5-16, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -2, 190, 3, 33.1, 5-17, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -86, 203, 14, 33.0, 5-18, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 34, 236, -231, 32.6, 5-19, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 9, 140, -46, 33.6, 5-20, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 15, 85, -31, 34.1, 5-21, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
