Time,Biomass Total, Bio Plants, Bio Herb, Bio Pred1, Bio Pred2, Pop Plants, Pop Herb, Pop Pred1, Pop Pred2,Grass, Tree, White Rabbit, Sheep, Cow, Elephant, Fox, Wolf, Coyote, Lion, Red sheep, Blue tree, 
39.0, 48600, 47464, 1036, 99, 0, 34, 12, 3, 0, 14, 15, 0, 12, 0, 0, 0, 3, 0, 0, 0, 5
40.0, 49055, 48035, 922, 97, 0, 34, 12, 3, 0, 14, 15, 0, 12, 0, 0, 0, 3, 0, 0, 0, 5
41.0, 49402, 48386, 919, 96, 0, 34, 12, 0, 0, 14, 15, 0, 12, 0, 0, 0, 0, 0, 0, 0, 5
42.1, 50041, 49028, 916, 96, 0, 34, 10, 0, 0, 14, 15, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5
43.0, 50383, 49370, 915, 96, 0, 34, 10, 0, 0, 14, 15, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5
44.0, 51049, 50038, 914, 96, 0, 33, 10, 0, 0, 13, 15, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5
45.0, 51385, 50375, 912, 96, 0, 33, 10, 0, 0, 13, 15, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5
46.0, 51828, 50916, 911, 0, 0, 33, 10, 0, 0, 13, 15, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5
47.0, 52278, 51483, 795, 0, 0, 33, 10, 0, 0, 13, 15, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5
48.0, 52664, 51870, 793, 0, 0, 33, 10, 0, 0, 13, 15, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5
49.0, 53241, 52448, 792, 0, 0, 33, 10, 0, 0, 13, 15, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5
50.0, 53645, 52855, 790, 0, 0, 33, 10, 0, 0, 13, 15, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5
51.0, 54193, 53404, 789, 0, 0, 33, 10, 0, 0, 13, 15, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5
52.0, 54648, 53860, 787, 0, 0, 33, 10, 0, 0, 13, 15, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5
53.0, 55209, 54386, 822, 0, 0, 33, 11, 0, 0, 13, 15, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5
54.2, 55776, 54937, 839, 0, 0, 33, 11, 0, 0, 13, 15, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5
55.2, 56322, 55484, 837, 0, 0, 33, 11, 0, 0, 13, 15, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5
56.1, 56799, 55961, 837, 0, 0, 33, 11, 0, 0, 13, 15, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5
57.8, 57566, 56731, 835, 0, 0, 33, 11, 0, 0, 13, 15, 0, 11, 0, 0, 0, 0, 0, 0, 0, 5
59.1, 58280, 57446, 834, 0, 0, 33, 10, 0, 0, 13, 15, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5
60.1, 58919, 58083, 835, 0, 0, 33, 10, 0, 0, 13, 15, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5
61.7, 59649, 58811, 837, 0, 0, 33, 10, 0, 0, 13, 15, 0, 10, 0, 0, 0, 0, 0, 0, 0, 5
