Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, -28, 0, -34, 25.0, 6-59, g_guineu_vermella, Red fox, 0-067-352-110, BORN, , , , , , 1
0, -15, 0, -37, 25.0, 6-60, g_guineu_vermella, Red fox, 0-067-352-210, BORN, , , , , , 1
0, -29, 0, -36, 25.0, 6-61, g_guineu_vermella, Red fox, 0-067-352-110, BORN, , , , , , 1
0, -21, 0, -41, 25.0, 6-62, g_guineu_vermella, Red fox, 0-067-352-110, BORN, , , , , , 1
0, -2, 0, -73, 25.0, 7-63, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 2, 0, -47, 25.0, 7-64, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -91, 0, -118, 25.0, 7-65, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -37, 0, 60, 25.0, 7-66, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -114, 0, -124, 25.0, 7-67, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -183, 0, 39, 25.0, 7-68, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 171, 0, -61, 25.0, 7-69, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -92, 18, -204, 24.8, 7-70, g_herba, Grass, 0-067-358-000, SPAWN_NOT_BORN, , , , 
0, 100, 0, -66, 25.0, 7-71, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -21, 34, -217, 24.7, 7-72, g_herba, Grass, 0-067-358-000, SPAWN_NOT_BORN, , , , 
0, 65, 0, -171, 25.0, 7-73, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 22, 0, -152, 25.0, 7-74, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -188, 0, -60, 25.0, 7-75, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -53, 0, -149, 25.0, 7-76, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -92, 0, -67, 25.0, 7-77, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 132, 0, 54, 25.0, 7-78, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -192, 0, 10, 25.0, 7-79, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 104, 0, -142, 25.0, 7-80, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -150, 0, -142, 25.0, 7-81, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -25, 0, -45, 25.0, 7-82, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 126, 0, -56, 25.0, 7-83, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 94, 0, 3, 25.0, 7-84, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -191, 0, 10, 25.0, 7-85, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 137, 0, -61, 25.0, 7-86, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -213, 1, -83, 25.0, 7-87, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 29, 0, -123, 25.0, 7-88, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -109, 0, 58, 25.0, 7-89, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -125, 0, 51, 25.0, 7-90, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -169, 0, 94, 25.0, 7-91, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -67, 0, -100, 25.0, 7-92, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -85, 0, -29, 25.0, 7-93, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 46, 0, 140, 25.0, 7-94, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 110, 0, -118, 25.0, 7-95, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 113, 0, 42, 25.0, 7-96, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 41, 0, -38, 25.0, 7-97, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
