Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, -69, 214, -23, 32.9, 4-1, g_arbre, Tree, 0-069-366-100, BORN, , , , , , 1
0, -58, 155, 36, 33.4, 4-2, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -50, 193, 3, 33.1, 4-3, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -72, 210, -14, 32.9, 4-4, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -34, 231, -24, 32.7, 4-5, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -75, 163, 29, 33.4, 4-6, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -84, 217, -49, 32.8, 4-7, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -48, 216, -24, 32.8, 4-8, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -47, 197, 17, 33.0, 4-9, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -92, 216, -3, 32.8, 4-10, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -147, 221, -81, 32.8, 5-11, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 5, 150, -48, 33.5, 5-12, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -16, 170, -128, 33.3, 5-13, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 9, 261, -216, 32.4, 5-14, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 34, 218, -85, 32.8, 5-15, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -73, 212, -45, 32.9, 5-16, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -49, 219, -184, 32.8, 5-17, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -81, 142, -136, 33.6, 5-18, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -101, 234, -179, 32.7, 5-19, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -52, 221, -175, 32.8, 5-20, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -93, 176, 27, 33.2, 5-21, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 12, 110, 33, 33.9, 5-22, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -100, 181, 24, 33.2, 5-23, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -91, 245, -180, 32.5, 5-24, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 14, 121, -4, 33.8, 5-25, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 70, 96, -8, 34.0, 5-26, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -122, 217, -15, 32.8, 5-27, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 104, 109, -57, 33.9, 5-28, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 15, 80, 44, 34.2, 5-29, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -95, 197, -20, 33.0, 5-30, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -90, 181, -158, 33.2, 5-31, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 39, 96, 2, 34.0, 5-32, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -78, 223, -196, 32.8, 5-33, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -69, 166, 21, 33.3, 5-34, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 141, 115, -85, 33.8, 5-35, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 66, 96, 30, 34.0, 5-36, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -64, 136, -149, 33.6, 5-37, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 136, 131, -27, 33.7, 5-38, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -20, 202, -109, 33.0, 5-39, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 74, 129, -44, 33.7, 5-40, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 13, 233, -188, 32.7, 5-41, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 57, 209, -123, 32.9, 5-42, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 64, 97, -16, 34.0, 5-43, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -142, 279, -49, 32.2, 5-44, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 54, 98, -19, 34.0, 5-45, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -36, 230, -204, 32.7, 5-46, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -105, 122, -116, 33.8, 5-47, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -9, 225, -194, 32.7, 5-48, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 79, 267, -169, 32.3, 5-49, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 12, 137, -54, 33.6, 5-50, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 49, 159, -79, 33.4, 5-51, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 37, 278, -210, 32.2, 6-52, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
