Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, 41, 0, 36, 25.0, 11-59, g_herba_vermella, Red grass, 0-067-358-000, BORN, , , , , , 1
0, -41, 0, 24, 25.0, 11-60, g_herba_vermella, Red grass, 0-067-358-000, BORN, , , , , , 1
0, 12, 0, 38, 25.0, 11-61, g_herba_vermella, Red grass, 0-067-358-000, BORN, , , , , , 1
0, -34, 0, 21, 25.0, 11-62, g_herba_vermella, Red grass, 0-067-358-000, BORN, , , , , , 1
0, -59, 0, 28, 25.0, 11-63, g_herba_vermella, Red grass, 0-067-358-000, BORN, , , , , , 1
0, 40, 0, 51, 25.0, 11-64, g_herba_vermella, Red grass, 0-067-358-000, BORN, , , , , , 1
0, -25, 0, 39, 25.0, 11-65, g_herba_vermella, Red grass, 0-067-358-000, BORN, , , , , , 1
0, -17, 0, -54, 25.0, 11-66, g_herba_vermella, Red grass, 0-067-358-000, BORN, , , , , , 1
0, 50, 0, -60, 25.0, 12-67, g_herba_blava, Blue grass, 0-067-358-000, BORN, , , , , , 1
0, -6, 0, -24, 25.0, 13-68, g_herba_groga, Yellow grass, 0-467-358-000, BORN, , , , , , 1
0, 64, 0, -14, 25.0, 14-69, g_herba_verda, Green grass, 0-067-358-000, BORN, , , , , , 1
6, -48, 0, 7, 25.0, 0-30, g_herba, Grass, 0-067-358-000, DIED, 7-4, g_conill_vermell, Red rabbit, 0-067-650-510, PREY
6, -49, 0, 8, 25.0, 7-4, g_conill_vermell, Red rabbit, 0-067-650-510, EAT, 0-30, g_herba, Grass, 0-067-358-000, heMenjatPes=0.5 pes=4.8
14, -74, 0, -15, 25.0, 0-44, g_herba, Grass, 0-067-358-000, DIED, 7-6, g_conill_vermell, Red rabbit, 0-067-650-410, PREY
14, -73, 0, -14, 25.0, 7-6, g_conill_vermell, Red rabbit, 0-067-650-410, EAT, 0-44, g_herba, Grass, 0-067-358-000, heMenjatPes=0.7 pes=4.9
25, -47, 0, -33, 25.0, 0-19, g_herba, Grass, 0-067-358-000, DIED, 7-4, g_conill_vermell, Red rabbit, 0-067-650-510, PREY
25, -47, 0, -33, 25.0, 7-4, g_conill_vermell, Red rabbit, 0-067-650-510, EAT, 0-19, g_herba, Grass, 0-067-358-000, heMenjatPes=1.7 pes=4.8
30, 18, 0, -27, 25.0, 6-1, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, -12, 0, -65, 25.0, 6-2, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, -21, 0, -14, 25.0, 6-3, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, -125, 0, -110, 25.0, 7-5, g_conill_vermell, Red rabbit, 0-067-650-510, DIED, , , , , STARVE
30, -59, 0, -51, 25.0, 8-7, g_conill_blau, Blue rabbit, 0-067-350-110, DIED, , , , , STARVE
30, -40, 0, -39, 25.0, 8-8, g_conill_blau, Blue rabbit, 0-067-350-210, DIED, , , , , STARVE
30, -10, 0, -70, 25.0, 8-9, g_conill_blau, Blue rabbit, 0-067-350-110, DIED, , , , , STARVE
30, 44, 0, 29, 25.0, 9-10, g_conill_groc, Yellow rabbit, 0-667-350-110, DIED, , , , , STARVE
30, -59, 0, -34, 25.0, 9-11, g_conill_groc, Yellow rabbit, 0-667-350-110, DIED, , , , , STARVE
30, 37, 0, -31, 25.0, 9-12, g_conill_groc, Yellow rabbit, 0-667-350-110, DIED, , , , , STARVE
30, 26, 0, -55, 25.0, 10-13, g_conill_verd, Green rabbit, 0-067-350-110, DIED, , , , , STARVE
30, -57, 0, 46, 25.0, 10-14, g_conill_verd, Green rabbit, 0-067-350-110, DIED, , , , , STARVE
30, -35, 0, 72, 25.0, 10-15, g_conill_verd, Green rabbit, 0-067-350-110, DIED, , , , , STARVE
