Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, -22, 0, -42, 25.0, 5-52, g_guineu, Fox, 0-067-352-210, BORN, , , , , , 1
0, -26, 0, -30, 25.0, 5-53, g_guineu, Fox, 0-067-352-210, BORN, , , , , , 1
0, -20, 0, -37, 25.0, 5-54, g_guineu, Fox, 0-067-352-210, BORN, , , , , , 1
0, -31, 0, -42, 25.0, 5-55, g_guineu, Fox, 0-067-352-110, BORN, , , , , , 1
0, -30, 0, -35, 25.0, 5-56, g_guineu, Fox, 0-067-352-110, BORN, , , , , , 1
0, -21, 0, -30, 25.0, 6-57, g_guineu_vermella, Red fox, 0-067-352-210, BORN, , , , , , 1
0, -24, 0, -43, 25.0, 6-58, g_guineu_vermella, Red fox, 0-067-352-210, BORN, , , , , , 1
0, -29, 0, -38, 25.0, 6-59, g_guineu_vermella, Red fox, 0-067-352-210, BORN, , , , , , 1
0, -20, 0, -30, 25.0, 6-60, g_guineu_vermella, Red fox, 0-067-352-210, BORN, , , , , , 1
0, -30, 0, -41, 25.0, 6-61, g_guineu_vermella, Red fox, 0-067-352-210, BORN, , , , , , 1
0, -22, 0, -34, 25.0, 6-62, g_guineu_vermella, Red fox, 0-067-352-210, BORN, , , , , , 1
40, -8, 0, -17, 25.0, 5-51, g_guineu, Fox, 0-067-352-110, DIED, , , , , STARVE
40, -44, 0, -50, 25.0, 5-52, g_guineu, Fox, 0-067-352-210, DIED, , , , , STARVE
40, -2, 0, -62, 25.0, 5-53, g_guineu, Fox, 0-067-352-210, DIED, , , , , STARVE
40, -7, 0, -12, 25.0, 5-54, g_guineu, Fox, 0-067-352-210, DIED, , , , , STARVE
40, -38, 0, -28, 25.0, 5-55, g_guineu, Fox, 0-067-352-110, DIED, , , , , STARVE
40, -31, 0, -20, 25.0, 5-56, g_guineu, Fox, 0-067-352-110, DIED, , , , , STARVE
40, -34, 0, -62, 25.0, 6-57, g_guineu_vermella, Red fox, 0-067-352-210, DIED, , , , , STARVE
40, -43, 0, -45, 25.0, 6-58, g_guineu_vermella, Red fox, 0-067-352-210, DIED, , , , , STARVE
40, -17, 0, -12, 25.0, 6-59, g_guineu_vermella, Red fox, 0-067-352-210, DIED, , , , , STARVE
40, -36, 0, -54, 25.0, 6-60, g_guineu_vermella, Red fox, 0-067-352-210, DIED, , , , , STARVE
40, -46, 0, -33, 25.0, 6-61, g_guineu_vermella, Red fox, 0-067-352-210, DIED, , , , , STARVE
40, 3, 0, -68, 25.0, 6-62, g_guineu_vermella, Red fox, 0-067-352-210, DIED, , , , , STARVE
41, 40, 0, -14, 25.0, 4-63, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-17, 2
41, 58, 0, -13, 25.0, 4-64, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-17, 2
41, 53, 0, -19, 25.0, 4-17, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, TRY BIRTH, , , , , tryOk=2, offSpring=3.0  births=2
42, 56, 0, -134, 25.0, 4-65, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-42, 2
42, 49, 0, -159, 25.0, 4-66, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-42, 2
42, 41, 0, -165, 25.0, 4-67, g_conill_blau_escas, Blue rabbit2, 0-067-350-110, BORN, , , , , 4-42, 2
