Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, -24, 0, -36, 25.0, 6-59, g_guineu_vermella, Red fox, 0-067-352-210, BORN, , , , , , 1
0, -30, 0, -34, 25.0, 6-60, g_guineu_vermella, Red fox, 0-067-352-210, BORN, , , , , , 1
0, -20, 0, -43, 25.0, 6-61, g_guineu_vermella, Red fox, 0-067-352-310, BORN, , , , , , 1
0, -21, 0, -44, 25.0, 6-62, g_guineu_vermella, Red fox, 0-067-352-210, BORN, , , , , , 1
0, -86, 0, 92, 25.0, 7-63, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 10, 0, 117, 25.0, 7-64, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -61, 45, -219, 24.5, 7-65, g_herba, Grass, 0-067-358-000, SPAWN_NOT_BORN, , , , 
0, 105, 0, 88, 25.0, 7-66, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -23, 0, -106, 25.0, 7-67, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -36, 0, 63, 25.0, 7-68, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 98, 0, -66, 25.0, 7-69, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -36, 0, -210, 25.0, 7-70, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -22, 0, -156, 25.0, 7-71, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -32, 0, -64, 25.0, 7-72, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -66, 0, 17, 25.0, 7-73, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -62, 0, 97, 25.0, 7-74, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -26, 0, -72, 25.0, 7-75, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 44, 0, 82, 25.0, 7-76, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -180, 0, 88, 25.0, 7-77, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 122, 0, -69, 25.0, 7-78, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 158, 0, 41, 25.0, 7-79, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -28, 0, -71, 25.0, 7-80, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -59, 0, 46, 25.0, 7-81, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 45, 0, 19, 25.0, 7-82, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -8, 39, -222, 24.6, 7-83, g_herba, Grass, 0-067-358-000, SPAWN_NOT_BORN, , , , 
0, 3, 0, -72, 25.0, 7-84, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -113, 30, -212, 24.7, 7-85, g_herba, Grass, 0-067-358-000, SPAWN_NOT_BORN, , , , 
0, -74, 0, -63, 25.0, 7-86, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 98, 0, -95, 25.0, 7-87, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 71, 0, -124, 25.0, 7-88, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 142, 0, 4, 25.0, 7-89, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -55, 0, 96, 25.0, 7-90, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -50, 0, -152, 25.0, 7-91, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -4, 0, 94, 25.0, 7-92, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -197, 0, -42, 25.0, 7-93, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -166, 0, -87, 25.0, 7-94, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -101, 15, -205, 24.8, 7-95, g_herba, Grass, 0-067-358-000, SPAWN_NOT_BORN, , , , 
0, -42, 0, -33, 25.0, 7-96, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -4, 0, 52, 25.0, 7-97, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 56, 0, -194, 25.0, 7-98, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -15, 0, -160, 25.0, 7-99, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -169, 0, -3, 25.0, 7-100, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -145, 0, -25, 25.0, 7-101, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 29, 0, -183, 25.0, 7-102, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -150, 0, -64, 25.0, 7-103, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 171, 0, -14, 25.0, 7-104, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 9, 0, 62, 25.0, 7-105, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 154, 0, 31, 25.0, 7-106, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 12, 0, -101, 25.0, 7-107, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -12, 0, 123, 25.0, 7-108, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 39, 0, 19, 25.0, 7-109, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
