Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, 1, 0, -32, 25.0, 6-1, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 6, 0, 17, 25.0, 6-2, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -8, 0, 23, 25.0, 6-3, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -8, 0, -26, 25.0, 6-4, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 24, 0, -21, 25.0, 6-5, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -22, 0, -12, 25.0, 6-6, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 28, 0, -2, 25.0, 6-7, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -21, 0, 1, 25.0, 6-8, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -23, 0, -17, 25.0, 6-9, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 8, 0, -3, 25.0, 6-10, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 14, 0, 0, 25.0, 6-11, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -16, 0, -16, 25.0, 6-12, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 8, 0, -8, 25.0, 6-13, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 9, 0, 20, 25.0, 6-14, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -19, 0, -18, 25.0, 6-15, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -28, 0, -9, 25.0, 6-16, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 18, 0, 1, 25.0, 6-17, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -4, 0, -28, 25.0, 6-18, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 13, 0, -10, 25.0, 6-19, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -1, 0, 6, 25.0, 6-20, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 28, 0, -4, 25.0, 6-21, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 15, 0, -21, 25.0, 6-22, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 9, 0, 16, 25.0, 6-23, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 18, 0, -26, 25.0, 6-24, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, 22, 0, 0, 25.0, 6-25, g_conill, White Rabbit, 0-067-350-110, BORN, , , , , , 1
0, -48, 0, -33, 25.0, 0-26, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 30, 0, -24, 25.0, 0-27, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 29, 0, 42, 25.0, 0-28, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -14, 0, -46, 25.0, 0-29, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 27, 0, -6, 25.0, 0-30, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 41, 0, 28, 25.0, 0-31, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 34, 0, -32, 25.0, 0-32, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 17, 0, -11, 25.0, 0-33, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 2, 0, -18, 25.0, 0-34, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 9, 0, -34, 25.0, 0-35, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -45, 0, -12, 25.0, 0-36, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -16, 0, -48, 25.0, 0-37, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 38, 0, 19, 25.0, 0-38, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -28, 0, 29, 25.0, 0-39, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -48, 0, -8, 25.0, 0-40, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -38, 0, -47, 25.0, 0-41, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 12, 0, -54, 25.0, 0-42, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 18, 0, -59, 25.0, 0-43, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 6, 0, 44, 25.0, 0-44, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 35, 0, -19, 25.0, 0-45, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -10, 0, 30, 25.0, 0-46, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 14, 0, -37, 25.0, 0-47, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 23, 0, -34, 25.0, 0-48, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 17, 0, -18, 25.0, 0-49, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -48, 0, -37, 25.0, 0-50, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 2, 0, 14, 25.0, 0-51, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 6, 0, -60, 25.0, 0-52, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 56, 0, 13, 25.0, 0-53, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 12, 0, -13, 25.0, 0-54, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -37, 0, -25, 25.0, 0-55, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 37, 0, -7, 25.0, 0-56, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -34, 0, -4, 25.0, 0-57, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -17, 0, -49, 25.0, 0-58, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -42, 0, -15, 25.0, 0-59, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -50, 0, -1, 25.0, 0-60, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 6, 0, -31, 25.0, 0-61, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 6, 0, -39, 25.0, 0-62, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -37, 0, 15, 25.0, 0-63, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 9, 0, 32, 25.0, 0-64, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 15, 0, 1, 25.0, 0-65, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 18, 0, -54, 25.0, 0-66, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 28, 0, -52, 25.0, 0-67, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -35, 0, 10, 25.0, 0-68, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 9, 0, 7, 25.0, 0-69, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -23, 0, 36, 25.0, 0-70, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 15, 0, 19, 25.0, 0-71, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -6, 0, -3, 25.0, 0-72, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 23, 0, 14, 25.0, 0-73, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -14, 0, 12, 25.0, 0-74, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 24, 0, 34, 25.0, 0-75, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, 35, 0, 40, 25.0, 0-76, g_herba, Grass, 0-067-358-000, BORN, , , , , , 1
0, -11, 0, 8, 25.0, 7-77, g_guineu, Fox, 0-067-352-210, BORN, , , , , , 1
0, 11, 0, 4, 25.0, 7-78, g_guineu, Fox, 0-067-352-210, BORN, , , , , , 1
0, -12, 0, 8, 25.0, 7-79, g_guineu, Fox, 0-067-352-210, BORN, , , , , , 1
5, 17, 0, -18, 25.0, 0-49, g_herba, Grass, 0-067-358-000, DIED, 6-22, g_conill, White Rabbit, 0-067-350-110, PREY
5, 16, 0, -19, 25.0, 6-22, g_conill, White Rabbit, 0-067-350-110, EAT, 0-49, g_herba, Grass, 0-067-358-000, heMenjatPes=0.5 pes=5.2
9, -34, 0, -4, 25.0, 0-57, g_herba, Grass, 0-067-358-000, DIED, 6-16, g_conill, White Rabbit, 0-067-350-110, PREY
9, -32, 0, -3, 25.0, 6-16, g_conill, White Rabbit, 0-067-350-110, EAT, 0-57, g_herba, Grass, 0-067-358-000, heMenjatPes=0.5 pes=5.2
11, 37, 0, -7, 25.0, 0-56, g_herba, Grass, 0-067-358-000, DIED, 6-21, g_conill, White Rabbit, 0-067-350-110, PREY
11, 36, 0, -6, 25.0, 6-21, g_conill, White Rabbit, 0-067-350-110, EAT, 0-56, g_herba, Grass, 0-067-358-000, heMenjatPes=0.5 pes=4.9
30, 7, 0, 24, 25.0, 6-2, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, -10, 0, 22, 25.0, 6-3, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, -15, 0, -33, 25.0, 6-4, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, 27, 0, -31, 25.0, 6-5, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, -26, 0, -6, 25.0, 6-6, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, -22, 0, 3, 25.0, 6-8, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, -29, 0, -25, 25.0, 6-9, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, 8, 0, -5, 25.0, 6-10, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, 12, 0, 0, 25.0, 6-11, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, -9, 0, -10, 25.0, 6-12, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, 10, 0, -8, 25.0, 6-13, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, 9, 0, 24, 25.0, 6-14, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, -27, 0, -14, 25.0, 6-15, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, 18, 0, 3, 25.0, 6-17, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, -2, 0, -18, 25.0, 6-18, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, 13, 0, -8, 25.0, 6-19, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, 0, 0, 7, 25.0, 6-20, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, 6, 0, 22, 25.0, 6-23, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, 26, 0, -21, 25.0, 6-24, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
30, 20, 0, 1, 25.0, 6-25, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
37, 16, 0, -19, 25.0, 6-22, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
38, 14, 0, -30, 25.0, 6-1, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
38, -32, 0, -3, 25.0, 6-16, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
40, -26, 0, 5, 25.0, 7-77, g_guineu, Fox, 0-067-352-210, DIED, , , , , STARVE
40, 21, 0, -8, 25.0, 7-78, g_guineu, Fox, 0-067-352-210, DIED, , , , , STARVE
40, -2, 0, 4, 25.0, 7-79, g_guineu, Fox, 0-067-352-210, DIED, , , , , STARVE
42, 36, 0, -6, 25.0, 6-21, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
42, 37, 0, -6, 25.0, 6-7, g_conill, White Rabbit, 0-067-350-110, DIED, , , , , STARVE
