Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, -34, 238, 11, 32.6, 4-1, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -46, 187, 32, 33.1, 4-2, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -44, 223, -23, 32.8, 4-3, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -100, 224, 5, 32.8, 4-4, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -98, 201, -38, 33.0, 4-5, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -55, 188, -4, 33.1, 4-6, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -61, 198, -15, 33.0, 4-7, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -45, 194, 29, 33.1, 4-8, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -60, 174, 15, 33.3, 4-9, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -27, 249, 13, 32.5, 4-10, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -40, 195, 36, 33.0, 5-11, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -124, 199, -66, 33.0, 5-12, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 39, 294, -98, 32.1, 5-13, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -115, 130, -90, 33.7, 5-14, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -34, 174, -104, 33.3, 5-15, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 113, 116, -30, 33.8, 5-16, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -78, 185, -158, 33.1, 5-17, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 89, 89, -19, 34.1, 5-18, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -63, 232, -176, 32.7, 5-19, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 42, 269, -215, 32.3, 5-20, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 50, 224, -146, 32.8, 5-21, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -74, 214, -49, 32.9, 5-22, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -139, 242, -66, 32.6, 5-23, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -142, 232, -121, 32.7, 5-24, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 46, 115, -35, 33.8, 5-25, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 34, 81, -29, 34.2, 5-26, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 15, 268, -219, 32.3, 5-27, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 5, 215, -183, 32.8, 5-28, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 33, 211, -83, 32.9, 5-29, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -93, 218, -167, 32.8, 5-30, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -71, 213, -50, 32.9, 5-31, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 136, 98, -86, 34.0, 5-32, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 11, 138, -54, 33.6, 5-33, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -1, 197, -81, 33.0, 5-34, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 126, 283, -159, 32.2, 5-35, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 57, 88, 7, 34.1, 5-36, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 48, 228, -119, 32.7, 5-37, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 79, 273, -165, 32.3, 5-38, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 130, 254, -130, 32.5, 5-39, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -1, 178, -5, 33.2, 5-40, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -123, 230, -154, 32.7, 5-41, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 83, 273, -193, 32.3, 5-42, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
