Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
40, -24, 0, -3, 25.0, 2-2, g_sheep, Sheep, 0-067-354-119, EAT, 1-16, g_bush, Bush, 0-067-358-000, heMenjatPes=17.3 pes=82.1
41, 21, 0, -2, 25.0, 1-32, g_bush, Bush, 0-067-358-000, DIED, 2-5, g_sheep, Sheep, 0-067-354-119, PREY
41, 20, 0, -2, 25.0, 2-5, g_sheep, Sheep, 0-067-354-119, EAT, 1-32, g_bush, Bush, 0-067-358-000, heMenjatPes=14.0 pes=77.1
42, 13, 0, -25, 25.0, 1-10, g_bush, Bush, 0-067-358-000, DIED, 2-1, g_sheep, Sheep, 0-067-354-119, PREY
42, 14, 0, -25, 25.0, 2-1, g_sheep, Sheep, 0-067-354-119, EAT, 1-10, g_bush, Bush, 0-067-358-000, heMenjatPes=19.2 pes=82.9
48, -16, 0, 1, 25.0, 1-31, g_bush, Bush, 0-067-358-000, DIED, 2-3, g_sheep, Sheep, 0-067-354-119, PREY
48, -17, 0, 1, 25.0, 2-3, g_sheep, Sheep, 0-067-354-119, EAT, 1-31, g_bush, Bush, 0-067-358-000, heMenjatPes=23.2 pes=84.4
50, -18, 0, -10, 25.0, 2-36, g_sheep, Sheep, 0-067-354-119, BORN, , , , , 2-2, 2
50, -24, 0, -7, 25.0, 2-2, g_sheep, Sheep, 0-067-354-119, TRY BIRTH, , , , , tryOk=1, offSpring=1.0  births=1
56, -9, 0, 6, 25.0, 1-8, g_bush, Bush, 0-067-358-000, DIED, 2-2, g_sheep, Sheep, 0-067-354-119, PREY
56, -10, 0, 6, 25.0, 2-2, g_sheep, Sheep, 0-067-354-119, EAT, 1-8, g_bush, Bush, 0-067-358-000, heMenjatPes=28.8 pes=82.1
57, 29, 0, -9, 25.0, 1-9, g_bush, Bush, 0-067-358-000, DIED, 2-5, g_sheep, Sheep, 0-067-354-119, PREY
57, 28, 0, -10, 25.0, 2-5, g_sheep, Sheep, 0-067-354-119, EAT, 1-9, g_bush, Bush, 0-067-358-000, heMenjatPes=25.5 pes=77.1
65, -27, 0, 10, 25.0, 2-37, g_sheep, Sheep, 0-067-354-119, BORN, , , , , 2-36, 3
65, -23, 0, 11, 25.0, 2-36, g_sheep, Sheep, 0-067-354-119, TRY BIRTH, , , , , tryOk=1, offSpring=1.0  births=1
65, -23, 0, 12, 25.0, 1-35, g_bush, Bush, 0-067-358-000, DIED, 2-36, g_sheep, Sheep, 0-067-354-119, PREY
65, -23, 0, 12, 25.0, 2-36, g_sheep, Sheep, 0-067-354-119, EAT, 1-35, g_bush, Bush, 0-067-358-000, heMenjatPes=7.9 pes=79.6
