Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, -33, 200, -181, 33.0, 6-62, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -102, 194, -48, 33.1, 6-63, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 3, 240, -202, 32.6, 6-64, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -23, 186, -60, 33.1, 6-65, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -76, 174, 17, 33.3, 6-66, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 108, 159, 15, 33.4, 6-67, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 33, 298, -103, 32.0, 6-68, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 13, 114, 31, 33.9, 6-69, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 116, 114, -95, 33.9, 6-70, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -78, 179, -77, 33.2, 6-71, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -42, 217, 3, 32.8, 6-72, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 96, 131, 8, 33.7, 6-73, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 29, 99, -4, 34.0, 6-74, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -29, 187, -90, 33.1, 6-75, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -76, 229, -168, 32.7, 6-76, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 50, 111, 61, 33.9, 6-77, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 35, 247, -90, 32.5, 6-78, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -41, 105, -140, 33.9, 6-79, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 62, 215, -122, 32.8, 6-80, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 23, 173, -148, 33.3, 6-81, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 43, 280, -105, 32.2, 6-82, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 0, 247, -105, 32.5, 6-83, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 32, 296, -102, 32.0, 6-84, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -57, 233, -201, 32.7, 6-85, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -57, 154, 41, 33.5, 6-86, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 92, 211, -133, 32.9, 6-87, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 66, 219, -129, 32.8, 6-88, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -87, 216, -44, 32.8, 6-89, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 82, 273, -192, 32.3, 6-90, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -61, 152, 35, 33.5, 6-91, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
