Time, x, y, z, temperature, idS, genusS, nameS, genomeS, action, idO, genusO, nameO, genomeO
0, -22, 257, -4, 32.4, 4-1, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -27, 199, -32, 33.0, 4-2, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -52, 189, 1, 33.1, 4-3, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -30, 234, 24, 32.7, 4-4, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -29, 252, -13, 32.5, 4-5, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -70, 176, 13, 33.2, 4-6, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -114, 208, 5, 32.9, 4-7, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -91, 204, -14, 33.0, 4-8, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -36, 196, -40, 33.0, 4-9, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, -36, 203, -36, 33.0, 4-10, g_arbre, Tree, 0-069-366-000, BORN, , , , , , 1
0, 58, 204, -128, 33.0, 5-11, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -84, 245, -186, 32.5, 5-12, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 108, 111, -27, 33.9, 5-13, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 39, 298, -100, 32.0, 5-14, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 25, 273, -104, 32.3, 5-15, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 52, 203, -125, 33.0, 5-16, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 7, 167, -69, 33.3, 5-17, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -122, 216, -17, 32.8, 5-18, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 37, 258, -116, 32.4, 5-19, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 39, 222, -154, 32.8, 5-20, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -66, 192, 0, 33.1, 5-21, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -92, 139, -93, 33.6, 5-22, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -18, 230, -16, 32.7, 5-23, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 79, 185, -103, 33.1, 5-24, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -121, 252, -173, 32.5, 5-25, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 75, 144, -72, 33.6, 5-26, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 0, 177, 14, 33.2, 5-27, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 13, 237, -191, 32.6, 5-28, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -99, 140, -144, 33.6, 5-29, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 52, 92, 47, 34.1, 5-30, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -59, 226, -194, 32.7, 5-31, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -64, 184, 6, 33.2, 5-32, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -11, 196, 32, 33.0, 5-33, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 93, 216, -135, 32.8, 5-34, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 67, 242, -217, 32.6, 5-35, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -21, 186, -60, 33.1, 5-36, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 71, 114, 40, 33.9, 5-37, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 55, 81, 35, 34.2, 5-38, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -116, 118, -102, 33.8, 5-39, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 136, 206, -114, 32.9, 5-40, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 111, 104, -71, 34.0, 5-41, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -104, 146, -82, 33.5, 5-42, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -92, 220, 3, 32.8, 5-43, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -122, 182, -71, 33.2, 5-44, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 68, 96, -11, 34.0, 5-45, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 30, 219, -84, 32.8, 5-46, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 37, 155, -66, 33.4, 5-47, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -85, 124, -108, 33.8, 5-48, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -37, 189, -50, 33.1, 5-49, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -90, 140, -144, 33.6, 5-50, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, 32, 266, -219, 32.3, 5-51, g_herba, Grass, 0-069-358-000, BORN, , , , , , 1
0, -83, 125, -107, 33.7, 6-52, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 131, 177, 6, 33.2, 6-53, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 2, 220, -189, 32.8, 6-54, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -116, 198, -50, 33.0, 6-55, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 37, 207, -83, 32.9, 6-56, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -117, 169, -130, 33.3, 6-57, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 18, 111, -4, 33.9, 6-58, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -98, 200, -50, 33.0, 6-59, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 86, 117, 13, 33.8, 6-60, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 42, 85, 31, 34.1, 6-61, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -143, 214, -86, 32.9, 6-62, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 88, 194, -127, 33.1, 6-63, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -70, 109, -113, 33.9, 6-64, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -78, 188, 8, 33.1, 6-65, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 17, 81, -23, 34.2, 6-66, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 31, 132, 80, 33.7, 6-67, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -65, 130, 58, 33.7, 6-68, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -94, 123, -103, 33.8, 6-69, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 81, 103, 8, 34.0, 6-70, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -101, 192, -53, 33.1, 6-71, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -77, 155, -85, 33.4, 6-72, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -61, 171, 68, 33.3, 6-73, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, -20, 118, 76, 33.8, 6-74, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
0, 39, 96, -6, 34.0, 6-75, g_conill, White Rabbit, 0-069-350-110, BORN, , , , , , 1
